movies,genre,release_year_start,release_year_end,rating,one-line,director,stars,votes,runtime,gross_in_dollars
Blood Red Sky,Action,2021,2021,6.1,"
A woman with a mysterious illness is forced into action when a group of terrorists attempt to hijack a transatlantic overnight flight.",Peter Thorwarth,"Peri Baumeister, 
Carl Anton Koch, 
Alexander Scheer, 
Kais Setti
",21062,121.0,33320000.0
Masters of the Universe: Revelation,Animation,2021,Ongoing,5.0,"
The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.",TBD,"Chris Wood, 
Sarah Michelle Gellar, 
Lena Headey, 
Mark Hamill
",17870,25.0,10715000.0
The Walking Dead,Drama,2010,2022,8.2,"
Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.",TBD,"Andrew Lincoln, 
Norman Reedus, 
Melissa McBride, 
Lauren Cohan
",885805,44.0,1360000.0
Rick and Morty,Animation,2013,Ongoing,9.2,"
An animated series that follows the exploits of a super scientist and his not-so-bright grandson.",TBD,"Justin Roiland, 
Chris Parnell, 
Spencer Grammer, 
Sarah Chalke
",414849,23.0,10715000.0
Army of Thieves,Action,2021,2021,6.0,"
A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse.",Matthias Schweighöfer,"Matthias Schweighöfer, 
Nathalie Emmanuel, 
Ruby O. Fee, 
Stuart Martin
",6036,97.0,33320000.0
Outer Banks,Action,2020,Ongoing,7.6,"
A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long buried secret.",TBD,"Chase Stokes, 
Madelyn Cline, 
Madison Bailey, 
Jonathan Daviss
",25858,50.0,33320000.0
The Last Letter from Your Lover,Drama,2021,2021,6.8,"
A pair of interwoven stories set in the past and present follow an ambitious journalist determined to solve the mystery of a forbidden love affair at the center of a trove of secret love letters from 1965.",Augustine Frizzell,"Shailene Woodley, 
Joe Alwyn, 
Wendy Nottingham, 
Felicity Jones
",5283,110.0,1360000.0
Dexter,Crime,2006,2013,8.6,"
By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.",TBD,"Michael C. Hall, 
Jennifer Carpenter, 
David Zayas, 
James Remar
",665387,53.0,675000.0
Never Have I Ever,Comedy,2020,Ongoing,7.9,"
The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.",TBD,"Maitreyi Ramakrishnan, 
Poorna Jagannathan, 
Darren Barnet, 
John McEnroe
",34530,30.0,855000.0
Virgin River,Drama,2019,Ongoing,7.4,"
Seeking a fresh start, nurse practitioner Melinda Monroe moves from Los Angeles to a remote Northern California town and is surprised by what and who she finds.",TBD,"Alexandra Breckenridge, 
Martin Henderson, 
Colin Lawrence, 
Tim Matheson
",27279,44.0,1360000.0
Gunpowder Milkshake,Action,2021,2021,6.0,"
Three generations of women fight back against those who could take everything from them.",Navot Papushado,"Karen Gillan, 
Lena Headey, 
Carla Gugino, 
Michelle Yeoh
",17989,114.0,33320000.0
Lucifer,Crime,2016,2021,8.1,"
Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.",TBD,"Tom Ellis, 
Lesley-Ann Brandt, 
Lauren German, 
D.B. Woodside
",264222,42.0,675000.0
Fear Street: 1994,Drama,2021,2021,6.2,"
A circle of teenage friends accidentally encounter the ancient evil responsible for a series of brutal murders that have plagued their town for over 300 years. Welcome to Shadyside.",Leigh Janiak,"Kiana Madeira, 
Olivia Scott Welch, 
Benjamin Flores Jr., 
Julia Rehwald
",50148,107.0,1360000.0
Sex/Life,Comedy,2021,Ongoing,5.4,"
A suburban mother of two takes a fantasy-charged trip down memory lane that sets her very married present on a collision course with her wild-child past.",TBD,"Sarah Shahi, 
Mike Vogel, 
Adam Demos, 
Margaret Odette
",12172,77.0,855000.0
American Horror Story,Drama,2011,Ongoing,8.0,"
An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, and a slasher summer camp.",TBD,"Lady Gaga, 
Kathy Bates, 
Angela Bassett, 
Sarah Paulson
",286488,60.0,1360000.0
Grey's Anatomy,Drama,2005,Ongoing,7.5,"
A drama centered on the personal and professional lives of five surgical interns and their supervisors.",TBD,"Ellen Pompeo, 
Chandra Wilson, 
James Pickens Jr., 
Justin Chambers
",266258,41.0,1360000.0
Breaking Bad,Crime,2008,2013,9.4,"
A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.",TBD,"Bryan Cranston, 
Aaron Paul, 
Anna Gunn, 
Betsy Brandt
",1552311,49.0,675000.0
The Good Doctor,Drama,2017,Ongoing,8.1,"
Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.",TBD,"Freddie Highmore, 
Hill Harper, 
Richard Schiff, 
Antonia Thomas
",70871,41.0,1360000.0
Atypical,Comedy,2017,2021,8.3,"
Sam, an 18-year-old on the autism spectrum, decides it's time to find a girlfriend, a journey that sets Sam's mom on her own life-changing path as her son seeks more independence.",TBD,"Jennifer Jason Leigh, 
Keir Gilchrist, 
Brigette Lundy-Paine, 
Michael Rapaport
",71544,30.0,855000.0
Stranger Things,Drama,2016,Ongoing,8.7,"
When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.",TBD,"Millie Bobby Brown, 
Finn Wolfhard, 
Winona Ryder, 
David Harbour
",885856,51.0,1360000.0
Fear Street: 1978,Drama,2021,2021,6.8,"
Shadyside, 1978. School's out for summer and the activities at Camp Nightwing are about to begin. But when another Shadysider is possessed with the urge to kill, the fun in the sun becomes a gruesome fight for survival.",Leigh Janiak,"Sadie Sink, 
Emily Rudd, 
Ryan Simpkins, 
McCabe Slye
",36634,109.0,1360000.0
Friends,Comedy,1994,2004,8.9,"
Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.",TBD,"Jennifer Aniston, 
Courteney Cox, 
Lisa Kudrow, 
Matt LeBlanc
",880918,22.0,855000.0
The Flash,Action,2014,Ongoing,7.6,"
After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City.",TBD,"Grant Gustin, 
Candice Patton, 
Danielle Panabaker, 
Carlos Valdes
",320264,43.0,33320000.0
Peaky Blinders,Crime,2013,Ongoing,8.8,"
A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",TBD,"Cillian Murphy, 
Paul Anderson, 
Helen McCrory, 
Sophie Rundle
",393414,60.0,675000.0
He-Man and the Masters of the Universe,Animation,2021,Ongoing,7.0,"
Eternia's Prince Adam discovers the power of Grayskull and transforms into He-Man, Master of the Universe. A reimagining of the classic animated series.",TBD,TBD,916,24.0,10715000.0
Chernobyl,Drama,2021,2021,5.0,"
A story about a heroic fireman who worked as one of Chernobyl liquidators.",Danila Kozlovskiy,"Danila Kozlovskiy, 
Oksana Akinshina, 
Filipp Avdeev, 
Ravshana Kurkova
",4681,136.0,1360000.0
Vikings,Action,2013,2020,8.5,"
Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.",TBD,"Katheryn Winnick, 
Gustaf Skarsgård, 
Alexander Ludwig, 
Georgia Hirst
",459913,44.0,33320000.0
Better Call Saul,Crime,2015,Ongoing,8.8,"
The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.",TBD,"Bob Odenkirk, 
Rhea Seehorn, 
Jonathan Banks, 
Patrick Fabian
",347857,46.0,675000.0
Supernatural,Drama,2005,2020,8.4,"
Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.",TBD,"Jared Padalecki, 
Jensen Ackles, 
Jim Beaver, 
Misha Collins
",404273,44.0,1360000.0
The Blacklist,Crime,2013,Ongoing,8.0,"
A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.",TBD,"James Spader, 
Megan Boone, 
Diego Klattenhoff, 
Ryan Eggold
",213522,43.0,675000.0
Fear Street: 1666,Horror,2021,2021,6.7,"
The origins of Sarah Fier's curse are finally revealed as history comes full circle on a night that changes the lives of Shadysiders forever.",Leigh Janiak,"Kiana Madeira, 
Ashley Zukerman, 
Gillian Jacobs, 
Olivia Scott Welch
",27447,114.0,1210000.0
Animal Kingdom,Crime,2016,Ongoing,8.2,"
Centers on a Southern California family, whose excessive lifestyle is fueled by their criminal activities.",TBD,"Shawn Hatosy, 
Ben Robson, 
Jake Weary, 
Finn Cole
",26926,60.0,675000.0
Brooklyn Nine-Nine,Comedy,2013,2022,8.4,"
Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.",TBD,"Andy Samberg, 
Stephanie Beatriz, 
Terry Crews, 
Melissa Fumero
",248583,22.0,855000.0
NCIS: Naval Criminal Investigative Service,Action,2003,Ongoing,7.7,"
The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.",TBD,"Mark Harmon, 
David McCallum, 
Sean Murray, 
Pauley Perrette
",125619,60.0,33320000.0
Kingdom,Action,2019,Ongoing,8.4,"
While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.",TBD,"Ju Ji-Hoon, 
Bae Doona, 
Kim Sungkyu, 
Hye-jun Kim
",34906,45.0,33320000.0
Modern Family,Comedy,2009,2020,8.4,"
Three different but related families face trials and tribulations in their own uniquely comedic ways.",TBD,"Ed O'Neill, 
Sofía Vergara, 
Julie Bowen, 
Ty Burrell
",378030,22.0,855000.0
Titans,Action,2018,Ongoing,7.7,"
A team of young superheroes combat evil and other perils.",TBD,"Brenton Thwaites, 
Teagan Croft, 
Anna Diop, 
Ryan Potter
",73656,45.0,33320000.0
The Witcher,Action,2019,Ongoing,8.2,"
Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.",TBD,"Henry Cavill, 
Anna Shaffer, 
Freya Allan, 
Adjoa Andoh
",336484,60.0,33320000.0
Downton Abbey,Drama,2010,2015,8.7,"
A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.",TBD,"Hugh Bonneville, 
Phyllis Logan, 
Elizabeth McGovern, 
Brendan Coyle
",171804,58.0,1360000.0
Shingeki no kyojin,Animation,2013,2022,9.0,"
After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",TBD,"Yûki Kaji, 
Marina Inoue, 
Josh Grelle, 
Yui Ishikawa
",242582,24.0,10715000.0
Suits,Comedy,2011,2019,8.4,"
On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.",TBD,"Gabriel Macht, 
Patrick J. Adams, 
Meghan Markle, 
Sarah Rafferty
",374263,44.0,855000.0
La casa de papel,Action,2017,2021,8.3,"
An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.",TBD,"Úrsula Corberó, 
Álvaro Morte, 
Itziar Ituño, 
Pedro Alonso
",341858,70.0,33320000.0
Schitt's Creek,Comedy,2015,2020,8.5,"
When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek.",TBD,"Eugene Levy, 
Catherine O'Hara, 
Dan Levy, 
Annie Murphy
",90728,22.0,855000.0
Outlander,Drama,2014,Ongoing,8.4,"
An English combat nurse from 1945 is mysteriously swept back in time to 1743.",TBD,"Caitriona Balfe, 
Sam Heughan, 
Duncan Lacroix, 
Sophie Skelton
",134991,64.0,1360000.0
The Last Kingdom,Action,2015,Ongoing,8.4,"
As Alfred the Great defends his kingdom from Norse invaders, Uhtred - born a Saxon but raised by Vikings - seeks to claim his ancestral birthright.",TBD,"Alexander Dreymon, 
Eliza Butterworth, 
Arnas Fedaravicius, 
Millie Brady
",94650,60.0,33320000.0
Black Mirror,Drama,2011,Ongoing,8.8,"
An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.",TBD,"Daniel Lapaine, 
Hannah John-Kamen, 
Michaela Coel, 
Beatrice Robertson-Jones
",469407,60.0,1360000.0
Ozark,Crime,2017,Ongoing,8.4,"
A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.",TBD,"Jason Bateman, 
Laura Linney, 
Sofia Hublitz, 
Skylar Gaertner
",206090,60.0,675000.0
The Crown,Biography,2016,Ongoing,8.6,"
Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.",TBD,"Claire Foy, 
Olivia Colman, 
Imelda Staunton, 
Matt Smith
",169517,58.0,7000000.0
Sweet Tooth,Action,2021,Ongoing,7.9,"
A boy who is half human and half deer survives in a post-apocalyptic world with other hybrids.",TBD,"Nonso Anozie, 
Christian Convery, 
Adeel Akhtar, 
Stefania LaVie Owen
",37142,97.0,33320000.0
Army of the Dead,Action,2021,2021,5.8,"
Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.",Zack Snyder,"Dave Bautista, 
Ella Purnell, 
Ana de la Reguera, 
Omari Hardwick
",132378,148.0,33320000.0
Fargo,Crime,2014,Ongoing,8.9,"
Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.",TBD,"Billy Bob Thornton, 
Martin Freeman, 
Allison Tolman, 
Colin Hanks
",341221,53.0,675000.0
How I Met Your Mother,Comedy,2005,2014,8.3,"
A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.",TBD,"Josh Radnor, 
Jason Segel, 
Cobie Smulders, 
Neil Patrick Harris
",624036,22.0,855000.0
Community,Comedy,2009,2015,8.5,"
A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.",TBD,"Joel McHale, 
Danny Pudi, 
Donald Glover, 
Chevy Chase
",231013,22.0,855000.0
Sons of Anarchy,Crime,2008,2014,8.5,"
A biker struggles to balance being a father and being involved in an outlaw motorcycle club.",TBD,"Charlie Hunnam, 
Katey Sagal, 
Mark Boone Junior, 
Kim Coates
",270445,45.0,675000.0
StartUp,Crime,2016,2018,7.9,"
A desperate banker, a Haitian-American gang lord and a Cuban-American hacker are forced to work together to unwittingly create their version of the American dream - organized crime 2.0.",TBD,"Adam Brody, 
Edi Gathegi, 
Otmara Marrero, 
Kristen Ariza
",22971,44.0,675000.0
The Vampire Diaries,Drama,2009,2017,7.7,"
The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.",TBD,"Nina Dobrev, 
Paul Wesley, 
Ian Somerhalder, 
Kat Graham
",293434,43.0,1360000.0
365 dni,Drama,2020,2020,3.3,"
Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.",TBD,"Anna Maria Sieklucka, 
Michele Morrone, 
Bronislaw Wroclawski, 
Otar Saralidze
",63620,114.0,1360000.0
How to Sell Drugs Online (Fast),Comedy,2019,Ongoing,7.9,"
To win back the love of his life, a high school student and his best friend launch Europe's largest online drug business from their teenage bedroom.",TBD,"Maximilian Mundt, 
Danilo Kamperidis, 
Lena Klenke, 
Damian Hardung
",23960,30.0,855000.0
Good Girls,Comedy,2018,2021,7.8,"
Three suburban mothers suddenly find themselves in desperate circumstances and decide to stop playing it safe and risk everything to take their power back.",TBD,"Christina Hendricks, 
Retta, 
Mae Whitman, 
Reno Wilson
",38618,43.0,855000.0
13 Reasons Why,Drama,2017,2020,7.6,"
Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.",TBD,"Dylan Minnette, 
Katherine Langford, 
Christian Navarro, 
Alisha Boe
",266386,60.0,1360000.0
The Queen's Gambit,Drama,2020,2020,8.6,"
Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.",TBD,"Anya Taylor-Joy, 
Chloe Pirrie, 
Bill Camp, 
Marcin Dorocinski
",336801,395.0,1360000.0
Legends of Tomorrow,Action,2016,Ongoing,6.8,"
Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.",TBD,"Caity Lotz, 
Amy Louise Pemberton, 
Dominic Purcell, 
Nick Zano
",95897,42.0,33320000.0
Star Trek: The Next Generation,Action,1987,1994,8.6,"
Set almost 100 years after Captain Kirk's five-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on their own mission to go where no one has gone before.",TBD,"Patrick Stewart, 
Brent Spiner, 
Jonathan Frakes, 
LeVar Burton
",106181,44.0,33320000.0
Le dernier mercenaire,Action,2021,2021,5.4,"
A mysterious former secret service agent must urgently return to France when his estranged son is falsely accused of arms and drug trafficking by the government, following a blunder by an overzealous bureaucrat and a mafia operation.",David Charhon,"Jean-Claude Van Damme, 
Alban Ivanov, 
Samir Decazza, 
Assa Sylla
",2606,110.0,33320000.0
Resort to Love,Comedy,2021,2021,5.7,"
Erica, who ends up as the entertainment at her ex-fiancé's wedding after reluctantly taking a gig at a luxurious island resort while in the wake of a music career meltdown.",Steven K. Tsuchida,"Christina Milian, 
Tymberlee Hill, 
Kayne Lee Harrison, 
Ruth Nadler-Nir
",1591,101.0,855000.0
Evil,Crime,2019,Ongoing,7.7,"
A skeptical female clinical psychologist joins a priest-in-training and a blue-collar contractor as they investigate supposed miracles, demonic possession, and other extraordinary occurrences to see if there's a scientific explanation or if something truly supernatural is at work.",TBD,"Katja Herbers, 
Mike Colter, 
Aasif Mandvi, 
Maddy Crocco
",15048,42.0,675000.0
The Expanse,Drama,2015,Ongoing,8.5,"
In the 24th century, a disparate band of antiheroes unravel a vast conspiracy that threatens the Solar System's fragile state of cold war.",TBD,"Wes Chatham, 
Dominique Tipper, 
Steven Strait, 
Shohreh Aghdashloo
",119644,60.0,1360000.0
New Amsterdam,Drama,2018,Ongoing,8.1,"
A new medical director breaks the rules to heal the system at America's oldest public hospital.",TBD,"Ryan Eggold, 
Janet Montgomery, 
Freema Agyeman, 
Jocko Sims
",27709,43.0,1360000.0
Line of Duty,Crime,2012,Ongoing,8.7,"
Drama series following the investigations of AC-12, a controversial police anti-corruption unit.",TBD,"Martin Compston, 
Vicky McClure, 
Adrian Dunbar, 
Craig Parkinson
",46751,60.0,675000.0
The 100,Drama,2014,2020,7.6,"
Set ninety-seven years after a nuclear war has destroyed civilization, when a spaceship housing humanity's lone survivors sends one hundred juvenile delinquents back to Earth, in hopes of possibly re-populating the planet.",TBD,"Eliza Taylor, 
Bob Morley, 
Marie Avgeropoulos, 
Isaiah Washington
",226962,43.0,1360000.0
New Girl,Comedy,2011,2018,7.7,"
After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time.",TBD,"Zooey Deschanel, 
Jake Johnson, 
Max Greenfield, 
Hannah Simone
",200421,22.0,855000.0
Prison Break,Action,2005,2017,8.3,"
Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside.",TBD,"Dominic Purcell, 
Wentworth Miller, 
Amaury Nolasco, 
Robert Knepper
",492438,44.0,33320000.0
Sex Education,Comedy,2019,Ongoing,8.3,"
A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.",TBD,"Asa Butterfield, 
Gillian Anderson, 
Ncuti Gatwa, 
Emma Mackey
",177274,45.0,855000.0
A Classic Horror Story,Drama,2021,2021,5.7,"
In this gruesome suspense film, strangers traveling in southern Italy become stranded in the woods, where they must fight desperately to get out alive.",TBD,"Matilda Anna Ingrid Lutz, 
Francesco Russo, 
Peppino Mazzotta, 
Will Merrick
",8822,95.0,1360000.0
Feels Like Ishq,Comedy,2021,Ongoing,6.6,"
Short films follow young adults as they navigate the gamut of emotions that come with finding romantic connection in unexpected places.",TBD,"Jojo Singh, 
Mihir Ahuja, 
Kajol Chugh, 
Sumali Khaniwale
",848,32.0,855000.0
Young Royals,Drama,2021,Ongoing,8.6,"
Prince Wilhelm adjusts to life at his prestigious new boarding school, Hillerska, but following his heart proves more challenging than anticipated.",TBD,"Edvin Ryding, 
Omar Rudberg, 
Frida Argento, 
Samuel Astor
",16954,50.0,1360000.0
Shadow and Bone,Action,2021,Ongoing,7.7,"
Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.",TBD,"Jessie Mei Li, 
Ben Barnes, 
Archie Renaux, 
Freddy Carter
",60283,97.0,33320000.0
The Hitman's Bodyguard,Action,2017,2017,6.9,"
The world's top bodyguard gets a new client, a hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial on time.",Patrick Hughes,"Ryan Reynolds, 
Samuel L. Jackson, 
Gary Oldman, 
Elodie Yung
",205979,118.0,75470000.0
Mad Men,Drama,2007,2015,8.6,"
A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.",TBD,"Jon Hamm, 
Elisabeth Moss, 
Vincent Kartheiser, 
January Jones
",216203,47.0,1360000.0
Élite,Crime,2018,Ongoing,7.5,"
When three working-class teenagers begin attending an exclusive private school in Spain, the clash between them and the wealthy students leads to murder.",TBD,"Itzan Escamilla, 
Omar Ayuso, 
Miguel Bernardeau, 
Arón Piper
",59730,60.0,675000.0
Gilmore Girls,Comedy,2000,2007,8.1,"
A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut.",TBD,"Lauren Graham, 
Alexis Bledel, 
Keiko Agena, 
Scott Patterson
",106650,44.0,855000.0
Sky Rojo,Action,2021,Ongoing,6.5,"
Coral, Wendy, and Gina go on the run in search of freedom while being chased by Romeo, their pimp from Las Novias Club, and his henchmen, Moises and Christian.",TBD,"Verónica Sánchez, 
Miguel Ángel Silvestre, 
Asier Etxeandia, 
Lali Espósito
",6940,31.0,33320000.0
Lupin,Action,2021,Ongoing,7.5,"
Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family.",TBD,"Omar Sy, 
Ludivine Sagnier, 
Hervé Pierre, 
Soufiane Guerrab
",84428,45.0,33320000.0
Trollhunters: Rise of the Titans,Animation,2021,2021,6.9,"
The heroes from the Trollhunters series team-up on an epic adventure to fight the Arcane Order for control over the magic that binds them all.",TBD,"Steve Alterman, 
Kay Bess, 
Brian Blessed, 
Vic Chao
",2353,104.0,10715000.0
Heartland,Drama,2007,Ongoing,8.4,"
A multi-generational saga set in Alberta, Canada and centered on a family getting through life together in both happy and trying times.",TBD,"Amber Marshall, 
Shaun Johnston, 
Michelle Morgan, 
Graham Wardle
",11764,45.0,1360000.0
Jurassic Park,Action,1993,1993,8.1,"
A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.",Steven Spielberg,"Sam Neill, 
Laura Dern, 
Jeff Goldblum, 
Richard Attenborough
",897444,127.0,402450000.0
Family Guy,Animation,1999,2022,8.1,"
In a wacky Rhode Island town, a dysfunctional family strive to cope with everyday life as they are thrown from one crazy scenario to another.",TBD,"Seth MacFarlane, 
Alex Borstein, 
Seth Green, 
Mila Kunis
",312584,22.0,10715000.0
Daredevil,Action,2015,2018,8.6,"
A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.",TBD,"Charlie Cox, 
Vincent D'Onofrio, 
Deborah Ann Woll, 
Elden Henson
",374963,54.0,33320000.0
Dark,Crime,2017,2020,8.8,"
A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.",TBD,"Louis Hofmann, 
Karoline Eichhorn, 
Lisa Vicari, 
Maja Schöne
",312629,60.0,675000.0
Boku no hîrô akademia,Animation,2016,Ongoing,8.4,"
A superhero-loving boy without any powers is determined to enroll in a prestigious hero academy and learn what it really means to be a hero.",TBD,"Daiki Yamashita, 
Nobuhiko Okamoto, 
Ayane Sakura, 
Justin Briner
",44367,24.0,10715000.0
Cobra Kai,Action,2018,Ongoing,8.6,"
Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.",TBD,"Courtney Henggeler, 
Mary Mouser, 
Tanner Buchanan, 
Ralph Macchio
",122268,30.0,33320000.0
 Kingdom,Action,2019,Ongoing,7.1,"
Tragedy, betrayal and a mysterious discovery fuel a woman's vengeance for the loss of her tribe and family in this special episode of ""Kingdom.""",Seong-hun Kim,"Jun Ji-hyun, 
Si-ah Kim, 
Byeong-eun Park, 
Kyo-hwan Koo
",6388,92.0,33320000.0
Gotham,Action,2014,2019,7.8,"
The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.",TBD,"Ben McKenzie, 
Jada Pinkett Smith, 
Donal Logue, 
Camren Bicondova
",216458,42.0,33320000.0
Billions,Drama,2016,Ongoing,8.4,"
U.S. Attorney Chuck Rhoades goes after hedge fund king Bobby ""Axe"" Axelrod in a battle between two powerful New York figures.",TBD,"Paul Giamatti, 
Damian Lewis, 
Maggie Siff, 
David Costabile
",74094,60.0,1360000.0
Agents of S.H.I.E.L.D.,Action,2013,2020,7.5,"
The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division.",TBD,"Clark Gregg, 
Ming-Na Wen, 
Brett Dalton, 
Iain De Caestecker
",205119,45.0,33320000.0
Don't Breathe,Crime,2016,2016,7.1,"
Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.",Fede Alvarez,"Stephen Lang, 
Jane Levy, 
Dylan Minnette, 
Daniel Zovatto
",237601,88.0,89220000.0
The Ice Road,Action,2021,2021,5.6,"
After a remote diamond mine collapses in far northern Canada, a ‘big-rig’ ice road driver must lead an impossible rescue mission over a frozen ocean to save the trapped miners.",Jonathan Hensleigh,"Liam Neeson, 
Marcus Thomas, 
Laurence Fishburne, 
Amber Midthunder
",20561,109.0,33320000.0
Arrow,Action,2012,2020,7.5,"
Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",TBD,"Stephen Amell, 
Katie Cassidy, 
David Ramsey, 
Susanna Thompson
",414712,42.0,33320000.0
Orange Is the New Black,Comedy,2013,2019,8.0,"
Convicted of a decade old crime of transporting drug money to an ex-girlfriend, normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be.",TBD,"Taylor Schilling, 
Danielle Brooks, 
Taryn Manning, 
Emma Myles
",284554,59.0,855000.0
Gossip Girl,Drama,2007,2012,7.4,"
Privileged teens living on the Upper East Side of New York can hide no secret from the ruthless blogger who is always watching.",TBD,"Blake Lively, 
Leighton Meester, 
Penn Badgley, 
Ed Westwick
",159666,42.0,1360000.0
Bridgerton,Drama,2020,Ongoing,7.3,"
Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family.",TBD,"Phoebe Dynevor, 
Regé-Jean Page, 
Nicola Coughlan, 
Jonathan Bailey
",83944,60.0,1360000.0
