movies,genre,release_year_start,release_year_end,rating,one-line,director,stars,votes,runtime,gross_in_dollars
Last Chance U,Documentary,2016,2020,8.4,"
Intense look inside the world of junior college football, chronicling the stories of players and coaches in the classroom and on the field.",TBD,"Ron Ollie, 
John III Franklin, 
Buddy Stephens, 
Brittany Wagner
",6416,55.0,120000.0
People Like Us,Comedy,2012,2012,7.1,"
While settling his recently deceased father's estate, a salesman discovers he has a sister whom he never knew about, leading both siblings to re-examine their perceptions about family and life choices.",Alex Kurtzman,"Chris Pine, 
Elizabeth Banks, 
Michelle Pfeiffer, 
Olivia Wilde
",42162,114.0,12410000.0
Nailed It!,Reality-TV,2018,Ongoing,7.4,"
Home bakers with a terrible track record take a crack at re- creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.",TBD,"Nicole Byer, 
Jacques Torres, 
Weston Bahr, 
Charity George
",4113,33.0,1360000.0
Au service de la France,Comedy,2015,2018,7.8,"
1960: the French intelligence service hires the 23-year-old André Merlaux. Handsome, well raised, intelligent but impressionable, Merlaux has much to learn to serve and defend the interests...                See full summary »
",TBD,"Hugo Becker, 
Wilfred Benaïche, 
Christophe Kourotchkine, 
Karim Barras
",3115,26.0,855000.0
Dilwale,Action,2015,2015,5.1,"
The siblings of two estranged lovers fall for each other, unaware of the violent past that drove them apart.",Rohit Shetty,"Shah Rukh Khan, 
Kajol, 
Varun Dhawan, 
Kriti Sanon
",32707,158.0,4830000.0
Little Einsteins,Animation,2005,2009,6.3,"
Four friends go on missions with their ever changing rocket ship. Every mission includes a classic song and a painting.",TBD,"David Jason, 
Aiden Pompey, 
Jesse Schwartz, 
Natalia Wojcik
",1501,24.0,10715000.0
The ABCs of Death,Comedy,2012,2012,4.7,"
A 26-chapter anthology that showcases death in all its vicious wonder and brutal beauty.",TBD,"Ingrid Bolsø Berdal, 
Iván González, 
Kyra Zagorsky, 
Lucy Clements
",18559,129.0,20000.0
Kuzu no honkai,Animation,2017,2017,6.8,"
A perfect couple struggles under a secret longing each has for someone else.",TBD,"Chika Anzai, 
Shintarô Asanuma, 
Greg Cote, 
Maggie Flecknoe
",1437,22.0,10715000.0
David Brent: Life on the Road,Comedy,2016,2016,6.3,"
A camera crew catches up with David Brent, the former star of the fictional British TV series The Office (2001), as he now fancies himself a rock star on the road.",Ricky Gervais,"Ricky Gervais, 
Rob Jarvis, 
Abbie Murphy, 
Mandeep Dhillon
",19129,96.0,855000.0
Systemsprenger,Drama,2019,2019,7.8,"
On her wild quest for love, 9-year-old Benni's untamed energy drives everyone around her to despair.",Nora Fingscheidt,"Helena Zengel, 
Albrecht Schuch, 
Gabriela Maria Schmeide, 
Lisa Hagmeister
",11388,125.0,1360000.0
